,variant,value
935,variant_b,0.0
936,variant_b,0.0217
937,variant_b,0.1049
938,variant_b,0.0023
939,variant_b,0.0587
940,variant_b,0.0
941,variant_b,0.0
942,variant_b,0.3162
943,variant_b,0.1681
944,variant_b,0.0157
945,variant_b,0.0429
946,variant_b,0.0128
947,variant_b,0.4169
948,variant_b,0.0152
949,variant_b,0.0026
950,variant_b,0.0362
951,variant_b,0.0
952,variant_b,0.0015
953,variant_b,0.0236
954,variant_b,0.1353
955,variant_b,0.0056
956,variant_b,0.0178
957,variant_b,0.1291
958,variant_b,0.0727
959,variant_b,0.0095
960,variant_b,0.1781
961,variant_b,0.0479
962,variant_b,2.1412
963,variant_b,0.412
964,variant_b,0.8633
965,variant_b,0.0566
966,variant_b,0.0043
967,variant_b,0.2262
968,variant_b,0.4688
969,variant_b,0.0007
970,variant_b,0.0722
971,variant_b,0.1087
972,variant_b,0.0003
973,variant_b,0.0
974,variant_b,0.0079
975,variant_b,0.0028
976,variant_b,0.412
977,variant_b,1.6899
978,variant_b,0.0253
979,variant_b,0.0296
980,variant_b,0.0213
981,variant_b,0.0185
982,variant_b,0.0298
983,variant_b,0.0399
984,variant_b,0.0405
985,variant_b,0.1469
986,variant_b,0.1487
987,variant_b,0.0763
988,variant_b,0.0003
989,variant_b,1.0615
990,variant_b,0.0
991,variant_b,0.0
992,variant_b,0.0
993,variant_b,0.0077
994,variant_b,0.0049
995,variant_b,0.0137
996,variant_b,0.0102
997,variant_b,0.0079
998,variant_b,0.0229
999,variant_b,0.0058
1000,variant_b,0.1458
1001,variant_b,0.0394
1002,variant_b,0.0
1003,variant_b,0.0431
1004,variant_b,0.0519
1005,variant_b,0.0002
1006,variant_b,0.9245
1007,variant_b,0.1864
1008,variant_b,0.0005
1009,variant_b,0.2766
1010,variant_b,0.1315
1011,variant_b,0.0286
1012,variant_b,0.0147
1013,variant_b,0.0
1014,variant_b,0.0
1015,variant_b,0.4916
1016,variant_b,0.0914
1017,variant_b,0.0719
1018,variant_b,0.167
1019,variant_b,0.0137
1020,variant_b,0.178
1021,variant_b,0.6141
1022,variant_b,0.0006
1023,variant_b,0.0557
1024,variant_b,0.0739
1025,variant_b,0.0347
1026,variant_b,0.0443
1027,variant_b,0.0962
1028,variant_b,0.0015
1029,variant_b,0.4474
1030,variant_b,0.0011
1031,variant_b,0.0004
1032,variant_b,0.0047
1033,variant_b,4.3943
1034,variant_b,1.6058
1035,variant_b,0.0006
1036,variant_b,0.0133
1037,variant_b,0.021
1038,variant_b,0.0353
1039,variant_b,0.0
1040,variant_b,0.0011
1041,variant_b,0.0154
1042,variant_b,0.0386
1043,variant_b,0.0328
1044,variant_b,0.0427
1045,variant_b,0.0153
1046,variant_b,0.0002
1047,variant_b,0.1478
1048,variant_b,0.0552
1049,variant_b,0.0273
1050,variant_b,0.2865
1051,variant_b,0.569
1052,variant_b,0.0536
1053,variant_b,2.5194
1054,variant_b,0.782
1055,variant_b,0.0154
1056,variant_b,0.2717
1057,variant_b,0.0377
1058,variant_b,0.0346
1059,variant_b,0.6711
1060,variant_b,0.0203
1061,variant_b,0.0
1062,variant_b,0.0932
1063,variant_b,0.0638
1064,variant_b,0.0052
1065,variant_b,0.0188
1066,variant_b,0.0164
1067,variant_b,0.0168
1068,variant_b,0.0058
1069,variant_b,0.0177
1070,variant_b,0.1994
1071,variant_b,0.0336
1072,variant_b,0.0024
1073,variant_b,0.04
1074,variant_b,0.0186
1075,variant_b,0.0
1076,variant_b,0.0016
1077,variant_b,0.1506
1078,variant_b,0.0037
1079,variant_b,0.0
1080,variant_b,21.7545
1081,variant_b,0.2757
1082,variant_b,0.0131
1083,variant_b,0.0025
1084,variant_b,0.0035
1085,variant_b,0.0678
1086,variant_b,0.6075
1087,variant_b,0.0
1088,variant_b,0.4699
1089,variant_b,0.0004
1090,variant_b,0.0706
1091,variant_b,0.0018
1092,variant_b,0.9613
1093,variant_b,0.0654
1094,variant_b,0.0955
1095,variant_b,0.0
1096,variant_b,0.0274
1097,variant_b,0.1724
1098,variant_b,0.0138
1099,variant_b,0.0199
1100,variant_b,0.0275
1101,variant_b,0.0105
1102,variant_b,0.2294
1103,variant_b,0.0196
1104,variant_b,0.0249
1105,variant_b,0.0344
1106,variant_b,0.4453
1107,variant_b,0.0013
1108,variant_b,0.0112
1109,variant_b,0.2841
1110,variant_b,0.0
1111,variant_b,0.0
1112,variant_b,0.0001
1113,variant_b,0.0006
1114,variant_b,0.0174
1115,variant_b,0.0001
1116,variant_b,0.3998
1117,variant_b,0.1571
1118,variant_b,1.6978
1119,variant_b,0.2638
1120,variant_b,0.2167
1121,variant_b,0.0056
1122,variant_b,0.0
1123,variant_b,0.0
1124,variant_b,0.1957
1125,variant_b,0.0233
1126,variant_b,0.1547
1127,variant_b,0.3681
1128,variant_b,1.7595
1129,variant_b,2.308
1130,variant_b,0.3937
1131,variant_b,0.0014
1132,variant_b,0.2957
1133,variant_b,0.1535
1134,variant_b,0.0209
1135,variant_b,0.0501
1136,variant_b,0.0721
1137,variant_b,0.1349
1138,variant_b,0.0055
1139,variant_b,0.7402
1140,variant_b,0.0139
1141,variant_b,0.3623
1142,variant_b,0.0054
1143,variant_b,0.0368
1144,variant_b,0.0971
1145,variant_b,1.773
1146,variant_b,0.0878
1147,variant_b,0.0018
1148,variant_b,0.034
1149,variant_b,0.0039
1150,variant_b,0.0009
1151,variant_b,0.0662
1152,variant_b,0.4719
1153,variant_b,0.0101
1154,variant_b,0.0107
1155,variant_b,0.0
1156,variant_b,0.2717
1157,variant_b,0.0409
1158,variant_b,0.5452
1159,variant_b,0.0731
1160,variant_b,0.698
1161,variant_b,0.084
1162,variant_b,0.0003
1163,variant_b,0.0009
1164,variant_b,0.0104
1165,variant_b,0.0188
1166,variant_b,0.0313
1167,variant_b,0.0111
